Town,Number
Barrington,15
Bristol,14
Burrillville,16
Central Falls,15
Charlestown,<5
Coventry,37
Cranston,90
Cumberland,34
East Greenwich,5
East Providence,41
Exeter,<5
Foster,<5
Glocester,<5
Hopkinton,<5
Jamestown,5
Johnston,21
Lincoln,13
Little Compton,<5
Middletown,11
Narragansett,8
New Shoreham,<5
Newport,14
North Kingstown,32
North Providence,84
North Smithfield,5
Pawtucket,133
Portsmouth,13
Providence,217
Richmond,0
Scituate,5
Smithfield,19
South Kingstown,20
Tiverton,12
Warren,<5
Warwick,54
West Greenwich,<5
West Warwick,28
Westerly,16
Woonsocket,20
