Town,Number
Barrington,22
Bristol,20
Burrillville,30
Central Falls,76
Charlestown,5
Coventry,55
Cranston,197
Cumberland,75
East Greenwich,15
East Providence,123
Exeter,8
Foster,7
Glocester,<5
Hopkinton,5
Jamestown,6
Johnston,53
Lincoln,26
Little Compton,7
Middletown,17
Narragansett,17
New Shoreham,<5
Newport,21
North Kingstown,54
North Providence,180
North Smithfield,8
Pawtucket,288
Portsmouth,16
Providence,766
Richmond,<5
Scituate,12
Smithfield,48
South Kingstown,38
Tiverton,26
Warren,7
Warwick,122
West Greenwich,6
West Warwick,46
Westerly,23
Woonsocket,67
